,text,label,entail_prob
0,"Finland and Sweden last week reiterated Finland and Sweden would join the NATO defence alliance at the same time, presenting a united front to Turkey.",<triplet> Finland <subj> the NATO defence alliance <obj> Consult,0.7817475199699402
1,"In Bangkok for the latest leg of Foreign Affairs Minister Penny Wong's south-east Asian charm offensive, Foreign Affairs Minister Penny Wong will sign off on Australia's support of a new training centre to counter trafficking – the first of its kind in the region – when Foreign Affairs Minister Penny Wong meets with Thai Prime Minister Prayut Chan-o-cha.",<triplet> Foreign Affairs Minister Penny Wong <subj> Bangkok <obj> Engage In Diplomatic Cooperation,0.9910209774971008
2,"""Those who intend to confront and subvert the government are dependent on foreigners and will be punished according to legal standards,"" the Associated Press cited Iran's judiciary chief, Gholamhossein Mohseni Ejei as saying.",<triplet> the Associated Press <subj> Iran's judiciary chief <obj> Make Public Statement,0.7808318734169006
3,Few Russian tycoons have criticised Russia's's invasion of Ukraine in public.,<triplet> Few Russian tycoons <subj> Russia's's invasion <obj> Disapprove,0.8785393238067627
4,"""A billionaire Russian banker, Oleg Tinkov hope more prominent Russian businessmen will follow A billionaire Russian banker, Oleg Tinkov, so it weakens Putin's regime and Putin's economy, and put Putin eventually to defeat,"" A billionaire Russian banker, Oleg Tinkov's original post said.",<triplet> A billionaire Russian banker <subj> Putin's regime <obj> Make Public Statement,0.6055018305778503
5,"In April, A billionaire Russian banker, Oleg Tinkov castigated Kremlin in even stronger terms, condemning what A billionaire Russian banker, Oleg Tinkov called a regime based on nepotism and servility.",<triplet> A billionaire Russian banker <subj> Kremlin <obj> Disapprove,0.9849556088447571
6,"New York City prosecutors accuse the Trump Organization, which is accused of paying untaxed perks to its executives for 15 years, of running a scheme to pay executives off books and by offering executives untaxed perks.",<triplet> New York City prosecutors <subj> the Trump Organization <obj> Disapprove,0.7695637345314026
7,"In the kitchen of Liudmyla Mymrykova's borrowed house, sitting next to her daughter Olha, Liudmyla Mymrykova explained why Liudmyla Mymrykova wanted to talk about Liudmyla Mymrykova's ordeal.",<triplet> Liudmyla Mymrykova <subj> Liudmyla Mymrykova's ordeal <obj> Consult,0.9612910151481628
8,"As Africa's's biggest economy grappled with the devastation, neighbouring Cameroon the Lagdo release neighbouring Cameroon's Lagdo Dam, to ease the water pressure on neighbouring Cameroon's side of the border along the Benue River.",<triplet> neighbouring Cameroon <subj> neighbouring Cameroon's Lagdo Dam <obj> Provide Aid,0.9175183773040771
9,"Mr Davis, who was wrongly jailed in Louisiana, says that removing the slavery exemption will strip away an ""incentive"" for Mr Davis's home state to incarcerate Louisiana's citizens.",<triplet> Mr Davis's home state <subj> Louisiana's citizens <obj> Coerce,0.6285765767097473
10,China have suggested to the Saudis that China price and charge for the oil China sell the Saudis in renminbi.,<triplet> China <subj> the Saudis <obj> Engage In Material Cooperation,0.640461266040802
11,"Mehdi, a 43-year-old father of a teenager has been demonstrating since the very first calls for protest went out, Mehdi, a 43-year-old father of a teenager says, adding that Mehdi, a 43-year-old father of a teenager has been filled with loathing for the Islamist dictatorship for years because of the Islamist dictatorship's corruption and because the Islamist dictatorship suffocate the populace.",<triplet> the Islamist dictatorship's corruption <subj> Mehdi <obj> Yield,0.8290103077888489
12,"chants on this parking lot in Gera have fallen silent, but Björn Höcke is still biding Björn Höcke's time.",<triplet> Björn Höcke <subj> Björn Höcke's time <obj> Yield,0.5565416216850281
13,"Maxim Dlugy said, ""Well, world champion Magnus Carlsen just congratulated Maxim Dlugy on being a good mentor, why isn't that good?""",<triplet> world champion Magnus Carlsen <subj> Maxim Dlugy <obj> Engage In Diplomatic Cooperation,0.5538663864135742
14,The report is of great public interest in that The report provides the best foundations yet for Europeans to debate how asylum-seekers should be treated at Europeans's borders.,<triplet> Europeans <subj> Europeans's borders <obj> Consult,0.7378444075584412
15,Can China Bring Vladimir Putin's To Vladimir Putin's's Senses?Some in the West are betting that China can bring Vladimir Putin's to Vladimir Putin's's senses.,<triplet> China <subj> Vladimir Putin's's senses <obj> Consult,0.5590446591377258
16,"One Russian reportedly set One Russian on fire in protest in the city of Ryazan, and a reservist shot and seriously wounded the head of a draft office in the Irkutsk region.",<triplet> One Russian <subj> One Russian <obj> Assault,0.7160818576812744
17,"Mark Finchem, cast Mark Finchem as a defender of the law: Mark Finchem said the votes were irredeemably compromised in some counties and should not have counted.",<triplet> Mark Finchem <subj> Mark Finchem <obj> Make Public Statement,0.5992808938026428
18,""" The European Union also congratulated Luiz Inacio Lula da Silva in a statement, commending the election authority for the election authority's effectiveness and transparency throughout campaign.",<triplet> The European Union <subj> Luiz Inacio Lula da Silva <obj> Engage In Diplomatic Cooperation,0.6629064679145813
19,The future of IranThere are no signs the Iranian regime will stop the Iranian regime's internet blackout.,<triplet> the Iranian regime <subj> the Iranian regime's internet blackout <obj> Reduce Relations,0.6485415101051331
20,"Bolsonaro also broke with diplomatic tradition, opting not to visit Buenos Aires in Bolsonaro's first trip as president-elect, instead preferring to travel to Santiago.",<triplet> Bolsonaro <subj> Bolsonaro's first trip <obj> Consult,0.8040942549705505
21,"Read more. . . Colombia resumes talks with powerful ELN guerrilla group During the campaign, President Alberto Fernández repeatedly criticised Argentina, pointing in particular to Argentina's high inflation rate, while generally disparaging ""leftist"" governments in the region.",<triplet> President Alberto Fernández <subj> Argentina <obj> Disapprove,0.8010841012001038
22,Read more. . . Argentina greats pay tribute to Maradona on anniversary of death But Kirchnerite leaders made it clear last week that Kirchnerite leaders want neither the PASO primaries nor the re-election of Alberto Fernández.,<triplet> Kirchnerite leaders <subj> neither the PASO primaries <obj> Appeal,0.9911596179008484
23,"Emmanuel Álvarez Agis state in Emmanuel Álvarez Agis's book that your ideas on reform are known to the members of the círculo rojo [“red circle”] establishment who have all manifested their support, always with the exception of those reforms which affect their own interests.",<triplet> Emmanuel Álvarez Agis <subj> Emmanuel Álvarez Agis's book <obj> Make Public Statement,0.6235158443450928
24,"Perhaps the most egregious was Article 104 which stipulated that the income tax floor of 350,000 pesos for everybody else should be 440,000 pesos for teamsters – a case of the Moyanos blatantly throwing the Moyanos's weight around in a week in which the Moyanos were blackmailing the Moyanos's way to a three-digit pay increase by threatening to bring Argentina to a halt.",<triplet> the Moyanos <subj> the Moyanos's way <obj> Coerce,0.9821504354476929
25,"Read more. . . Stories that caught our eye: November 18 to 25 CHINESE GREETINGSPresident Alberto Fernández last Monday congratulated Xi Jinping on Xi Jinping's re-election to a further five years at the Chinese Communist Party helm: “Under the leadership of Xi Jinping, China has achieved notable advances in the eradication of poverty, scientific and technological innovation and the fight against the Covid-19 pandemic, which has enormously improved the living standards of the Chinese people as an example for countries worldwide. ”",<triplet> CHINESE GREETINGSPresident Alberto Fernández <subj> Xi Jinping <obj> Engage In Diplomatic Cooperation <subj> Xi Jinping's re <obj> Engage In Diplomatic Cooperation,
26,"Also on Thursday, Whirlpool Corp said Whirlpool Corp cut Whirlpool Corp's earnings and sales forecast for 2022 as Whirlpool Corp grapples with softening demand.",<triplet> Whirlpool Corp <subj> Whirlpool Corp's earnings and sales forecast <obj> Reduce Relations,0.8222403526306152
27,"Organised just after Radical deputy Facundo Manes had criticised Mauricio Macri, receiving a cataract of reproaches in return, Mauricio Macri invited to dinner Corrientes Province Governor Gustavo Valdés along with the deputies Rodrigo de Loredo, Martín Tetaz, Juan Manuel López and Paula Oliveto (the former two Radical and the latter pair CC-ARI).",<triplet> Radical deputy Facundo Manes <subj> Mauricio Macri <obj> Disapprove,0.676742672920227
28,"—  TIMES/NAIn this newstopics:Iguazú FallsIguazúMisionesTourism </Text></Article><Article url=""https://www.batimes.com.ar/news/latin-america/brazil-challenger-lula-alleges-neymar-supports-bolsonaro-over-debt-woes.phtml"" paper=""bat""><Text>Brazilian presidential candidate Luiz Inácio Lula da Silva criticised football star Neymar's support of far-right incumbent Jair Bolsonaro, accusing far-right incumbent Jair Bolsonaro of being motivated by a debt ""pardon. """,<triplet> Brazilian presidential candidate Luiz Inácio Lula da Silva <subj> football star Neymar's support <obj> Disapprove,0.9169006943702698
29,"Another touching moment came when Colombian midfielder Juan Fernando Quintero, on behalf of More than 70,000 River Plate fans, took the microphone and said: ""More than 70,000 River Plate fans come to say thank Marcelo 'El Muñeco' Gallardo, their much-loved coach who is stepping down after a glorious run of 14 titles in eight years, for winning, for enjoying and scoring goals, for Marcelo 'El Muñeco' Gallardo, their much-loved coach who is stepping down after a glorious run of 14 titles in eight years's ideals, for teaching More than 70,000 River Plate fans to believe. ""","<triplet> More than 70,000 River Plate fans <subj> Marcelo 'El Muñeco' Gallardo <obj> Make Public Statement",0.9971822500228882
30,"Read more. . . former leader and front-runner Luiz Inácio Lula da Silva criticises Alberto Fernández for sticking to IMF debt deal The IMF and World Bank held The IMF and World Bank's annual meetings in Washington last week, bringing global finance and central bank chiefs to the US capital at a fragile moment for the global economy.",<triplet> former leader and front-runner Luiz Inácio Lula da Silva <subj> Alberto Fernández <obj> Disapprove,0.9565972685813904
31,"— TIMES/AFPIn this newspersonalities:Jair BolsonaroLuiz Inácio Lula Da Silvatopics:BrazilBolsonaroLulaElectionDebateLatAm </Text></Article><Article url=""https://timesofindia.indiatimes.com/world/pakistan/pakistan-pm-shehbaz-sharif-to-visit-china-on-tuesday-to-greet-president-xi-jinping/articleshow/95225270.cms"" paper=""it""><Text>ISLAMABAD: Pakistan prime minister Shehbaz Sharif will embark on a two-day official visit to China on Tuesday during which Pakistan prime minister Shehbaz Sharif will meet the top Chinese leadership, including President Xi Jinping, for a series of meetings aimed at boosting business and strategic all-weather ties.",<triplet> pm-shehbaz-sharif <subj> china <obj> Consult,0.731810986995697
32,"5 million metric tonnes of foodstuffs had been exported under the UN-brokered agreement that guaranteed safe passage for ships carrying vital grain exports from Ukraine since the UN-brokered agreement that guaranteed safe passage for ships carrying vital grain exports from Ukraine came into effect in the summer, UN added.",<triplet> the UN-brokered agreement <subj> the UN-brokered agreement <obj> Engage In Material Cooperation,0.7486013174057007
33,FILE: Yellow-jacketed policemen formed a cordon around the site of a deadly crush in the Itaewon neighborhood in Seoul JUNG YEON-JE AFPSouth KoreaHalloweenSeoulSouth Korean President Yoon Suk-yeol Email PrintTweetShareDominic Majola                                            | 30 October 2022 16:56JOHANNESBURG - Ramaphosa has added Ramaphosa's voice to messages of condolences to S Korea - following a stampede where over 150 people died and many more injured.,<triplet> Ramaphosa <subj> Ramaphosa's voice <obj> Engage In Material Cooperation,0.809776246547699
34,"But oil giant BP said on Tuesday that even if oil prices dropped as far as to $60 per barrel, oil giant BP could still afford to return billions of dollars to oil giant BP's shareholders.",<triplet> oil giant BP <subj> oil giant BP's shareholders <obj> Consult,0.972030758857727
35,"Turkish President Recep Tayyip Erdogan has called for the resumption of talks for Turkey to join the European Union when Turkish President Recep Tayyip Erdogan spoke by phone with German Chancellor Olaf Scholz on Tuesday, according to the Turkish presidential office.",<triplet> Turkey <subj> the European Union <obj> Consult,0.8817114233970642
36,"After accompanying [Mauricio] Macri's in 2011 in Buenos Aires City], governing for three million residents, and having governed 17 million Argentines in [Buenos Aires Province, National lawmaker and former Buenos Aires Province governor María Eugenia Vidal feel that National lawmaker and former Buenos Aires Province governor María Eugenia Vidal's next step is the presidency.",<triplet> 17 million Argentines <subj> Buenos Aires Province <obj> Engage In Material Cooperation,0.5985007286071777
37,the recruiting follows months of warnings from US soldiers who fought with Afghan special forces that the Taliban was intent on killing US soldiers who fought with Afghan special forces and that US soldiers who fought with Afghan special forces might join with US enemies to stay alive or out of anger with US soldiers who fought with Afghan special forces's former ally.,<triplet> US soldiers <subj> US enemies <obj> Consult,0.6012943983078003
38,"Even so, McDonald’s is gaining traction among McDonald’s's less affluent customers, noted CFO Ian Borden during an analyst call Thursday.",<triplet> CFO Ian Borden <subj> McDonald’s's less affluent customers <obj> Make Public Statement,0.9436717629432678
