,text,label
0,11:44pm: UN grain coordinator expects loaded ships to depart Ukraine on ThursdayThe UN coordinator for the Ukraine Black Sea grain deal said UN grain coordinator expects loaded ships to depart Ukrainian ports on ThursdayThe.,<triplet> UN grain coordinator <subj> loaded ships <obj> Consult
1,"8:04pm: Pro-Moscow force renews evacuation of Ukraine's KhersonRussian-installed officials announced on Tuesday a resumption of the operation to evacuate the Kherson region of Ukraine amid a counter-offensive by Kyiv, which has already seen 70,000 people flee the Kherson region of Ukraine.","<triplet> which <subj> 70,000 people <obj> Yield"
2,"""Wagner and its alleged boss Yevgeny Prigozhin's purpose was to spread terror and chaos in Ukraine,"" Jason McCue, senior partner at McCue Jury and Partners, told Britain's House of Commons Foreign Affairs Committee on Tuesday.",<triplet> terror <subj> Ukraine <obj> Make Public Statement
3,"Finland and Sweden asked to join the NATO defence alliance in May in response to Russia's invasion of Ukraine, but ran into objections from Turkey which has accused Hungary and Turkey of harbouring groups Turkey deems terrorists.",<triplet> Finland <subj> the NATO defence alliance <obj> Consult
4,"In a post on Telegram, Vladimir Saldo, the Russian-backed head of Ukraine’s southern Kherson region, said Vladimir Saldo, the Russian-backed head of the region which is partially occupied by Russian forces, was extending the area covered by an order for civilians to evacuate by an additional 15 kilometres to include another seven settlements.",<triplet> civilians <subj> an additional 15 kilometres <obj> Reduce Relations
5,"the country to hold 5th election in 3 years as coalition government dissolvesIsrael says the country has reached 'historic' deal with Lebanon over maritime borderAfter a powerful new player cast a powerful new player's vote in the West Bank settlement where a powerful new player lives, a powerful new player promised that a vote for a powerful new player's party would bring about a ""fully right-wing government"" with former leader Benjamin Netanyahu as prime minister.",<triplet> a powerful new player <subj> a vote <obj> Consult
6,"The ultranationalist Religious Zionism party, whose provocative top candidate Ben-Gvir wants to deport Arab legislators and is a disciple of a racist rabbi who was assassinated in 1990, has promised to support legislation that would alter the legal code, weaken the judiciary and could help former leader Benjamin Netanyahu evade a conviction.",<triplet> whose provocative top candidate <subj> Arab legislators <obj> Coerce
7,"“Pakistan can serve as the manufacturing base for China and an extension of China's industrial and supply chain network,” wrote in an opinion article published in the Chinese newspaper Global Times on Sunday.",<triplet> Pakistan <subj> the manufacturing base <obj> Engage In Material Cooperation
8,"In Bangkok for the latest leg of Foreign Affairs Minister Penny Wong's south-east Asian charm offensive, Foreign Affairs Minister Penny Wong will sign off on Australia's support of a new training centre to counter trafficking – the first of its kind in the region – when Foreign Affairs Minister Penny Wong meets with Thai Prime Minister Prayut Chan-o-cha.",<triplet> Foreign Affairs Minister Penny Wong <subj> Bangkok <obj> Engage In Diplomatic Cooperation
9,Prime Minister Han Duck-soo said South Korea's would review the issue of accountability only after a thorough investigation into the causes.,<triplet> Prime Minister Han Duck-soo <subj> South Korea <obj> Make Public Statement
10,"""Rather than nitpicking about whether the event had an organiser or not, it's the people's safety that's important, and we need to come up with thorough measures,"" Yoon Hee-keun said, while suggesting the use of drones and other digital capabilities to manage crowds in future events.",<triplet> we <subj> thorough measures <obj> Intend
11,""" Several polls by Israel's's main TV channels released at the end of last week indicated that the Netanyahu bloc - which also includes ultra-Orthodox Jewish parties Shas and United Torah Judaism - would win 60 of parliament's 120 seats.",<triplet> which <subj> ultra-Orthodox Jewish parties <obj> Yield
12,"During the centrist politician Yair Lapid's past four months in office, commentators generally agree the centrist politician Yair Lapid has avoided missteps while hosting US President Joe Biden, overseeing a three-day bombardment of Islamic Jihad militants in Gaza, and signing a maritime border deal with neighbouring Lebanon, an enemy state.",<triplet> commentators <subj> the centrist politician Yair Lapid's past four months <obj> Intend
13,"Police later found senior US politician Nancy Pelosi and A man struggling over a hammer, but a hammer was wrested from senior US politician Nancy Pelosi by the intruder who violently assaulted senior US politician Nancy Pelosi with a hammer.",<triplet> a hammer <subj> senior US politician <obj> Coerce
