,text,label
0,"RUSSIA'S ROLE DEFENDED France's Emmanuel Macron on Thursday called on C. Africa president's Central African counterpart to ""undertake all efforts"" to end the years of violence in the Central African Republic.",<triplet> France's Emmanuel Macron <subj> C. Africa president's Central African counterpart <obj> Consult
1,"""a hotline for people aged between 12 and 30 give lonely young people a place to be heard and put lonely young people in touch with youth clubs specialising in kids who are lonely,"" Youth worker Jolanda van Gerwe tells the BBC.",<triplet> Youth worker Jolanda van Gerwe <subj> the BBC <obj> Make Public Statement
2,"In other Covid developments around the world: The ambulance service in the UK capital, London, received as many emergency calls on Saturday as The ambulance service in the UK capital, London did at the height of the first wave of the pandemic, the BBC has learned.",<triplet> the BBC <subj> other Covid developments <obj> Consult
3,"Some countries began administering the jabs on Saturday, saying Some countries were not prepared to wait another daySouth Korea reported Korea's first cases of the the UK variant in three people who arrived from the UK capital, London on 22 December, the Korea Disease Control and Prevention Agency said on Monday In the US, top government scientist Anthony Fauci reiterated warnings that there could be a surge in cases as a result of families getting together over the holiday season - despite being urged not to do so.",<triplet> Korea <subj> Korea's first cases <obj> Make Public Statement <triplet> top government scientist Anthony Fauci <subj> the US <obj> Make Public Statement
4,"""top government scientist Anthony Fauci share the concern of President-elect (Joe) Biden that as we get into the next few weeks, it [the outbreak] might actually get worse,"" top government scientist Anthony Fauci told CNN LATEST GLOBAL SPREAD: Where has been hit hardest?VACCINE SAFETY: Will pregnant women receive the Covid-19 vaccine?IMMUNITY: Does getting coronavirus make you immune?REALITY CHECK: A vaccine will not alter your DNA</Text></Article><Article url=""https://www.bbc.co.uk/news/world-europe-55344970"" paper=""bbc""><Text> Orchestra conductor Gustavo Dudamel wants to see a new sense of tolerance in the world and believes music can lead the way.",<triplet> top government scientist Anthony Fauci <subj> CNN <obj> Make Public Statement
5,"""Music has an essential role to play in the healing of the spirit of humankind, which is so shaken at this time of pandemic and other circumstances that divide us,"" Orchestra conductor Gustavo Dudamel tells the BBC.",<triplet> Orchestra conductor Gustavo Dudamel <subj> the BBC <obj> Make Public Statement
6,"The claim that Eritrean troops are fighting in Tigray was made by the Tigray People's Liberation Front (TPLF), civilians fleeing the conflict, and Eritreans inside and outside Eritrea's.",<triplet> Eritrean troops <subj> Tigray <obj> Fight
7,"As for UN chief António Gueterres, UN chief António Gueterres said Ethiopia's Nobel Peace Prize winner and Prime Minister Abiy Ahmed had assured UN chief António Gueterres there were no Eritrean troops in Tigray, except in territory that Ethiopia's had agreed to hand over following a historic peace deal between Both governments in 2018.",<triplet> UN chief António Gueterres <subj> Prime Minister Abiy Ahmed <obj> Make Public Statement <subj> no Eritrean troops <obj> Make Public Statement
8,"US-based analyst Alex de Waal said US-based analyst Alex de Waal had been informed by a UN source that the conflict had caused the ""large-scale displacement"" of people in the region, the poorest in Ethiopia with a population of about five million.",<triplet> US-based analyst Alex de Waal <subj> a UN source <obj> Make Public Statement
9,Eritrea's President Isaias Afwerki is still pushing on to crush the Tigray People's Liberation Front (TPLF).,<triplet> Eritrea's President <subj> the Tigray People's Liberation Front <obj> Fight
10,"Eritrea's has not commented on Eritrea's's alleged involvement, but Eritrea's has previously accused the UN agency of ""smear campaigns"" and of trying to depopulate Eritrea's.",<triplet> Eritrea <subj> the UN agency <obj> Disapprove
11,"""Until the Mumbai Mirror newspaper ran candid newspaper column, Indian media rarely - if at all - used words like 'penis' and 'vagina',"" the Mumbai Mirror newspaper's editor, Ms Baghel, told the BBC in 2014.",<triplet> the Mumbai Mirror newspaper <subj> the BBC <obj> Make Public Statement
12,"""An Indian sexologist, whose candid newspaper column made him an urban legend of sorts didn't have much experience, An Indian sexologist, whose candid newspaper column made him an urban legend of sorts must confess,"" An Indian sexologist, whose candid newspaper column made him an urban legend of sorts told the BBC in an interview in 2014.",<triplet> An Indian sexologist <subj> the BBC <obj> Make Public Statement
13,"Ask the Sexpert: the Sexpert presents: My Indian Life - the Sexpert While An Indian sexologist, whose candid newspaper column made him an urban legend of sorts was at medical college in Mumbai, An Indian sexologist, whose candid newspaper column made him an urban legend of sorts stayed with a big extended family An Indian sexologist, whose candid newspaper column made him an urban legend of sorts's parents knew - Mumbai's where An Indian sexologist, whose candid newspaper column made him an urban legend of sorts met An Indian sexologist, whose candid newspaper column made him an urban legend of sorts's wife, Promila.",<triplet> An Indian sexologist <subj> An Indian sexologist <obj> Consult
14,"""Sometimes An Indian sexologist, whose candid newspaper column made him an urban legend of sorts delivered babies all night and then would go to work all day,"" An Indian sexologist, whose candid newspaper column made him an urban legend of sorts told the BBC.",<triplet> An Indian sexologist <subj> the BBC <obj> Make Public Statement
15,"According to Mohammad Elgeblawi, spokesman for the GNA foreign ministry, the Egyptian delegation, which included the deputy intelligence services chief pledged to reopen the Egyptian consulate ""as soon as possible"" and to re-establish air links between the two capitals, which have been interrupted for several years.",<triplet> the Egyptian delegation <subj> the Egyptian consulate <obj> Engage In Diplomatic Cooperation
16,"READ: Calls for govt to tighten lockdown restrictions amid spike in COVID-19 casesLast week, Transport Minister Fikile Mbalula said 690 people had died on SA's roads since the beginning of December.",<triplet> Transport Minister Fikile Mbalula <subj> SA's roads <obj> Make Public Statement
17,"True to Canada's democratic values and principles, Canada will always stand with human rights activists and defenders, around the world's,"" Angela Savard told CBC News in an email.",<triplet> Angela Savard <subj> CBC News <obj> Make Public Statement
18,"non-governmental organisation Global Witness says at least 14 environmental defenders were killed in Honduras in 2019, up from four in 2018.",<triplet> non-governmental organisation Global Witness <subj> Honduras <obj> Make Public Statement
19,Turkish Foreign Minister Mevlut Cavusoglu plans to discuss Azerbaijan border security with Turkish Foreign Minister Mevlut Cavusoglu's Russian colleague Sergey Lavrov during the upcoming talks in Russia’s Sochi.,<triplet> Turkish Foreign Minister Mevlut Cavusoglu <subj> Azerbaijan border security <obj> Consult <subj> Azerbaijan border security <obj> Express Intend to Cooperate <subj> Turkish Foreign Minister Mevlut Cavusoglu's Russian colleague <obj> Consult
20,"The Russian Foreign Ministry informed earlier that Turkish Foreign Minister Mevlut Cavusoglu would visit Russia’s Sochi on December 29 to take part in the eight session of the Joint Strategic Planning Group, which forms part of the Turkish-Russian High Level Cooperation Council.",<triplet> Turkish Foreign Minister Mevlut Cavusoglu <subj> Russia’s Sochi <obj> Consult
21,"its cameraman Kumerra Gemechu's detention came almost two weeks after two Ethiopian police officers assaulted Reuters news agency photographer Tiksa Negeri, Reuters news agency added.",<triplet> two Ethiopian police officers <subj> Reuters news agency photographer Tiksa Negeri <obj> Fight
22,"Dr. Deena Hinshaw said the person infected with variant first identified in U. K. had recently arrived in Alberta from the U. K. the person infected with the variant did everything the person infected with the variant were supposed to upon arrival, including staying isolated from others, and there is no evidence the person infected with the variant's illness has spread, Dr. Deena Hinshaw added.",<triplet> Dr. Deena Hinshaw <subj> Alberta <obj> Make Public Statement
23,"Dr. Deena Hinshaw said health officials in Alberta are working with the Public Health Agency of Canada to obtain a list of people who were sitting near the person infected with the variant on people who were sitting near the infected person on their flight to Alberta's flight to Alberta, but Dr. Deena Hinshaw believes the risk of transmission is low.",<triplet> Dr. Deena Hinshaw <subj> the Public Health Agency <obj> Make Public Statement
24,Denmark reported Denmark's first such case earlier in December.,<triplet> Denmark <subj> Denmark's first such case <obj> Make Public Statement
25,"Dr. Bruce Aylward, a senior adviser to the World Health Organization director general, told CBC News's The Current on Monday that it's still ""early days"" in terms of the new variants in U. K. and South Africa.",<triplet> Dr. Bruce Aylward <subj> CBC News's The Current <obj> Make Public Statement
26,"As respondents, Limpopo Education Dept've already made submissions to the Constitutional Court that Limpopo Education Dept will abide by the Constitutional Court's decision.",<triplet> Limpopo Education Dept <subj> the Constitutional Court's decision <obj> Yield
27,"Four of the charges against British socialite Ghislaine Maxwell who is awaiting trial on sex crime charges relate to the years between 1994 and 1997, when prosecutors say British socialite Ghislaine Maxwell who is awaiting trial on sex crime charges helped the convicted sex offender Jeffrey Epstein groom girls as young as 14.",<triplet> British socialite Ghislaine Maxwell <subj> Jeffrey Epstein <obj> Engage In Material Cooperation
28,"BBC interview with the Duke of York, Prince Andrew of the British Royal Family over the convicted sex offender Jeffrey Epstein connection 2005: One of the convicted sex offender Jeffrey Epstein's alleged victims, aged 14, reports the convicted sex offender Jeffrey Epstein to the police in Palm Beach 2006: the convicted sex offender Jeffrey Epstein is charged with unlawful sex acts with a minor 2007: A plea deal is struck - instead of facing federal sex-trafficking charges, the convicted sex offender Jeffrey Epstein pleads guilty to two charges of soliciting prostitution, including with a minor 2008: the convicted sex offender Jeffrey Epstein gets an 18-month sentence following A plea deal November 2018: The Miami Herald publishes an explosive investigation into the convicted sex offender Jeffrey Epstein, A plea deal, and the dozens of women alleging abuse July 2019: the convicted sex offender Jeffrey Epstein is arrested again, accused of sex trafficking of underage girls over a number of years August 2019: the convicted sex offender Jeffrey Epstein is found dead in the convicted sex offender Jeffrey Epstein's prison cell while awaiting trial 2 July 2020: British socialite Ghislaine Maxwell who is awaiting trial on sex crime charges is arrested by the FBI at British socialite Ghislaine Maxwell who is awaiting trial on sex crime charges's New Hampshire home 14 July 2020: British socialite Ghislaine Maxwell who is awaiting trial on sex crime charges pleads not guilty to charges of trafficking minors for the convicted sex offender Jeffrey Epstein and is denied bail</Text></Article><Article url=""https://www.bbc.co.uk/news/world-us-canada-55470625"" paper=""bbc""><Text> US President-elect Joe Biden has accused the US defence department of ""irresponsibility"" for failing to give US President-elect Joe Biden's team the information his team needs for the transition of power.",<triplet> US President-elect Joe Biden <subj> the US defence department <obj> Disapprove
29,"US President-elect Joe Biden also claimed that agencies critical to US security had suffered ""enormous damage"" under Donald Trump.",<triplet> US President-elect Joe Biden <subj> Donald Trump <obj> Disapprove
30,"After Donald Trump finally agreed to allow the transition of power last month, US President-elect Joe Biden praised the White House for the White House's help in the transition of power.",<triplet> US President-elect Joe Biden <subj> the White House <obj> Engage In Diplomatic Cooperation <subj> the White House's help <obj> Engage In Diplomatic Cooperation
31,"""Right now, his team just aren't getting all the information that his team need from the White House in key national security areas,"" US President-elect Joe Biden said.",<triplet> US President-elect Joe Biden <subj> the White House <obj> Make Public Statement
32,"Amazon CEO Jeff Bezos's investigators have suggested the National Enquirer, which he said threatened to publish revealing personal photos of him unless he stopped investigating how other private photos and messages were obtained by the tabloid's coverage of Amazon CEO Jeff Bezos's affair was politically motivated.",<triplet> Amazon CEO Jeff Bezos's investigators <subj> the National Enquirer <obj> Appeal
33,Amazon CEO Jeff Bezos says American Media Inc. later approached Amazon CEO Jeff Bezos's representatives with an offer.,<triplet> American Media Inc. <subj> Amazon CEO Jeff Bezos's representatives <obj> Consult
34,"(Marion Curtis via The Associated Press)Sanchez, who is also former TV anchor Lauren Sanchez's sister's manager, has declined to speak with The Associated Press on the record and did not immediately respond to an email seeking comment Thursday.",<triplet> (Marion Curtis via The Associated Press)Sanchez <subj> The Associated Press <obj> Consult
35,"The former Nigerian President Olusegun Obasanjo, who is supporting main opposition candidate, Atiku Abubakar, has strongly criticised President Buhari's record on tackling The Islamist militant group Boko Haram.",<triplet> The former Nigerian President <subj> President Buhari's record <obj> Disapprove
36,"President Buhari says The Islamist militant group Boko Haram have been ""decimated"" since 2015 in The Islamist militant group Boko Haram's stronghold of north-eastern Nigeria.",<triplet> President Buhari <subj> Boko Haram <obj> Make Public Statement
37,"On 30 January, Twenty-five-year-old Sravanti (name changed on her request) says, officials from the Department of Homeland Security came to Twenty-five-year-old Sravanti (name changed on her request)'s house n California to question Twenty-five-year-old Sravanti (name changed on her request).",<triplet> Twenty-five-year-old Sravanti <subj> Twenty-five-year-old Sravanti <obj> Consult
38,"""Twenty-five-year-old Sravanti (name changed on her request) am wearing an ankle monitor and Twenty-five-year-old Sravanti (name changed on her request) have been advised not to leave the US without informing officials from the Department of Homeland Security,"" Twenty-five-year-old Sravanti (name changed on her request) told the BBC over the phone.",<triplet> Twenty-five-year-old Sravanti <subj> the BBC <obj> Make Public Statement <subj> Twenty-five-year-old Sravanti <obj> Make Public Statement
39,"But Twenty-five-year-old Sravanti (name changed on her request) says that although Twenty-five-year-old Sravanti (name changed on her request) paid the tuition, Twenty-five-year-old Sravanti (name changed on her request) did not visit the website, which showed pictures of students in classes, libraries or elsewhere on campus or verify any of the information Twenty-five-year-old Sravanti (name changed on her request) was given.",<triplet> Twenty-five-year-old Sravanti <subj> although Twenty-five-year-old Sravanti <obj> Make Public Statement
40,"Veeresh (name changed at his request) says that is why many students prefer Canada and Australia, which offer an easier path to becoming a resident.",<triplet> Veeresh <subj> Canada <obj> Make Public Statement
41,"In Brussels, EU gives May glimpse of Brexit hope Senior EU officials urged May to grasp an olive branch from Labour opposition leader Jeremy Corbyn that echoed EU proposals for a permanent EU-UK customs union.",<triplet> EU <subj> Brussels <obj> Engage In Material Cooperation <subj> May <obj> Engage In Material Cooperation <triplet> Senior EU officials <subj> May <obj> Appeal
42,Senior EU officials urged May to grasp an olive branch from Labour opposition leader Jeremy Corbyn that echoed EU proposals for a permanent EU-UK customs union as a way to end the deadlock on the Irish border “backstop”.,<triplet> Senior EU officials <subj> May <obj> Appeal
43,"“It is not going to be easy,” May told a British television reporter.",<triplet> May <subj> a British television reporter <obj> Make Public Statement
44,"ECONOMY HITThe Bank of England said Britain's was set for Britain's's weakest economic growth in 10 years in 2019, blaming mounting Brexit uncertainty and the global slowdown.",<triplet> HITThe Bank <subj> Britain's's weakest economic growth <obj> Make Public Statement
45,"Former President Barack Obama has described John Dingell, the longest serving congressman in US history as one of the most influential legislators of all time.",<triplet> Former President Barack Obama <subj> John Dingell <obj> Make Public Statement
46,"View original tweet on Twitter The next day, John Dingell, the longest serving congressman in US history informed Twitter that John Dingell, the longest serving congressman in US history had been educated as to what a Kardashian is, but was ""only left with more questions"".",<triplet> John Dingell <subj> Twitter <obj> Make Public Statement
47,"View original tweet on Twitter President Obama's called John Dingell, the longest serving congressman in US history an inspiring American whose life ""reminds us that change does not always come with a flash, but instead with a steady, determined effort"".",<triplet> President Obama <subj> John Dingell <obj> Consult <subj> an inspiring American <obj> Consult
