,doc_id,text,triplets,rel_count,len,new_len,in_len,relations,rel_len
0,0,"Ukraine war: Russian tactics on eastern front 'crazy', says Zelensky. Russia has expended huge resources in the town of Bakhmut despite a looming battle in Kherson.",<triplet> Russian <subj> Ukraine <obj> Fight <triplet> Zelensky <subj> Russian <obj> Make Public Statement <triplet> Russia <subj> Kherson <obj> Fight <triplet> Russia <subj> town of Bakhmut <obj> Exhibit Military Posture,4,4,4,164,"['Fight', 'Make Public Statement', 'Fight', 'Exhibit Military Posture']",4
1,2,Lee Jae-yong: Samsung appoints Lee Jae-yong to top job. Lee Jae-yong was found guilty of bribery and embezzlement before being granted a presidential pardon.,<triplet> presidential pardon <subj> Lee Jae-yong <obj> Provide Aid <triplet> Samsung <subj> Lee Jae-yong <obj> Engage In Material Cooperation,2,2,2,157,"['Provide Aid', 'Engage In Material Cooperation']",2
2,3,New Zealand Instagram couple 'relieved' after leaving Iran. New Zealand Instagram couple vanished after entering Iran in July to film for New Zealand Instagram couple's blog.,<triplet> New Zealand Instagram couple <subj> Iran <obj> Disapprove,1,1,1,174,['Disapprove'],1
3,4,Iran protests: Police fire on Mahsa Amini mourners - witnesses. Thousands gather in Mahsa Amini's home city of Saqqez to mark 40 days since Mahsa Amini's death in custody.,<triplet> Police <subj> Mahsa Amini mourners <obj> Fight <triplet> Thousands <subj> Iran <obj> Protest,2,2,2,171,"['Fight', 'Protest']",2
4,5,"Germany plans to legalise recreational cannabis. In the EU only Malta has legalised recreational cannabis, while the Dutch tolerate limited use.",<triplet> Germany <subj> recreational cannabis <obj> Make Public Statement,1,1,1,144,['Make Public Statement'],1
5,6,Australia World Cup team hits out at hosts Qatar. Australia World Cup team players have appeared in a video message highlighting the human rights record of hosts Qatar.,<triplet> Australia World Cup team <subj> hosts Qatar <obj> Disapprove <triplet> Australia World Cup team players <subj> hosts Qatar <obj> Make Public Statement,2,2,2,168,"['Disapprove', 'Make Public Statement']",2
6,8,"Georgia Senate race: Herschel Walker called abortion 'hypocrite' by second woman. Georgia Senate hopeful Herschel Walker called the allegation - the second this month - ""foolishness"".",<triplet> second woman <subj> Herschel Walker <obj> Disapprove,1,1,1,183,['Disapprove'],1
7,9,"Putin watches first Russian nuclear drill since invasion of Ukraine. first Russian nuclear drill since invasion of Ukraine come as Russia makes unsubstantiated claims that Ukraine plans to use a ""dirty bomb"".",<triplet> Russia <subj> Ukraine <obj> Make Public Statement <triplet> Putin <subj> Ukraine <obj> Fight <triplet> Putin <subj> first Russian nuclear drill <obj> Exhibit Military Posture,3,3,3,208,"['Make Public Statement', 'Fight', 'Exhibit Military Posture']",3
8,10,"Even nuns watch porn, Pope says, warning of risks. Pope was answering a question about how best to navigate the digital world.",<triplet> Pope <subj> nuns <obj> Make Public Statement <triplet> Pope <subj> the digital world <obj> Make Public Statement,2,2,2,126,"['Make Public Statement', 'Make Public Statement']",2
9,11,The impact of Iran's protests beyond Iran's's borders. Tensions in Iraqi Kurdistan are high after missile and drone attacks from the Iranian Revolutionary Guard.,<triplet> Iranian Revolutionary Guard <subj> Iraqi Kurdistan <obj> Fight,1,1,1,161,['Fight'],1
10,12,Svalbard: The race to save Svalbard. Svalbard is thought to be heating at six times the global average.,<triplet> The race <subj> Svalbard <obj> Provide Aid,1,1,1,103,['Provide Aid'],1
11,13,Sudan: 'No-one to intervene' for woman sentenced to stoning. A lack of government ministers in Sudan hinders attempts to prevent a woman being stoned to death.,<triplet> Sudan: <subj> woman <obj> Coerce,1,1,1,159,['Coerce'],1
12,15,Kenya battles unsafe Chinese contraceptive pill a decade after ban. Susan Wamaitha was urged to take a Chinese-made contraceptive not knowing a Chinese-made contraceptive was banned in Kenya.,<triplet> Kenya <subj> Chinese-made contraceptive <obj> Disapprove <triplet> Kenya <subj> Chinese contraceptive pill <obj> Disapprove,2,2,2,191,"['Disapprove', 'Disapprove']",2
13,16,Brazil election: Why are the poor voting for Lula?. Poverty is a huge election issue as many Brazilians struggle amid the cost of living crisis.,<triplet> Brazilians <subj> Lula <obj> Engage In Diplomatic Cooperation,1,1,1,144,['Engage In Diplomatic Cooperation'],1
14,17,Ukraine war: Russia troop deployment to Belarus prompts speculation. Russia is sending thousands more troops to Belarus. Is Russia going to join the war in Ukraine?,<triplet> Russia <subj> Ukraine <obj> Fight <triplet> Russia <subj> Belarus <obj> Engage In Material Cooperation <triplet> Russia <subj> Belarus <obj> Engage In Material Cooperation,3,3,2,164,"['Fight', 'Engage In Material Cooperation', 'Engage In Material Cooperation']",3
15,18,Macron-Scholz: Difficult Paris summit for German chancellor. Relations between France and Germany are strained as France and Germany pull in different directions.,<triplet> German chancellor <subj> Paris summit <obj> Consult <triplet> Germany <subj> France <obj> Disapprove,2,2,2,162,"['Consult', 'Disapprove']",2
16,19,"North Korea tensions: Why is Kim Jong-un upping the pressure?. As the Koreas trade warning shots, the situation on North Korea is at the situation on the peninsula's most volatile in years.",<triplet> Kim Jong-un <subj> the Koreas <obj> Exhibit Military Posture,1,1,1,189,['Exhibit Military Posture'],1
17,20,Brazil election: Accusations and misinformation on the campaign trail. President Bolsonaro faces rival Lula da Silva in a second-round run-off on 30 October.,<triplet> President Bolsonaro <subj> rival Lula da Silva <obj> Disapprove,1,1,1,157,['Disapprove'],1
18,21,"Kanye West: What's next for Yeezy and trainer fans?. With big brands including Adidas cutting ties with Yeezy, Newsbeat explores what happens next.",<triplet> Adidas <subj> Kanye West <obj> Reduce Relations <triplet> big brands <subj> Kanye West <obj> Reduce Relations,2,2,2,147,"['Reduce Relations', 'Reduce Relations']",2
19,22,"Lebanon: Iraqi tourists provide unlikely boost for failing economy. Despite power cuts, shortages and political strife, Iraqis (and Iraqis's dollars) are coming to Lebanon:.",<triplet> Iraqis <subj> Lebanon <obj> Engage In Material Cooperation <triplet> Iraqi tourists <subj> economy <obj> Engage In Material Cooperation,2,2,2,173,"['Engage In Material Cooperation', 'Engage In Material Cooperation']",2
20,23,Iran protests: How countries are punishing the morality police. the morality police is accused of abusing Iranian women who the morality police thinks do not wear the hijab properly enough.,<triplet> morality police <subj> Iranian women <obj> Assault <triplet> countries <subj> morality police <obj> Disapprove,2,2,2,189,"['Assault', 'Disapprove']",2
21,25,"Nedd Brockmann: The man who ran across Australia in 47 days. Nedd Brockmann: The man who ran across Australia in 47 days. ran 3,953 km (2,456 miles), inspired a nation and raised millions for charity.",<triplet> Nedd Brockmann <subj> charity <obj> Provide Aid <triplet> nation <subj> Nedd Brockmann <obj> Make Public Statement,2,2,2,200,"['Provide Aid', 'Make Public Statement']",2
22,27,"Sunak's rise to PM a 'ground-breaking milestone' - Biden. US President Joe Biden says it ""matters"" that the UK will have the UK's first British Asian prime minister.",<triplet> Biden <subj> Sunak's <obj> Make Public Statement <triplet> US President Joe Biden <subj> UK <obj> Make Public Statement,2,2,2,165,"['Make Public Statement', 'Make Public Statement']",2
23,29,"China congress: What do people say about China's new leadership team?. It's considered sensitive to talk about China's's party leaders in public, but not impossible.",<triplet> people <subj> China's new leadership team <obj> Make Public Statement,1,1,1,165,['Make Public Statement'],1
24,30,"China's leader Xi Jinping introduces China's leader Xi Jinping's new top team. China's's leader Xi Jinping has been re-elected for a third straight term, in a break with precedent.",<triplet> China's leader Xi Jinping <subj> China's leader Xi Jinping's new top team <obj> Make Public Statement,1,1,1,180,['Make Public Statement'],1
25,32,"The Long Arm of the Mullahs: Hamburg Mosque Reportedly a Hotbed for Iranian Propaganda. The Hamburg Islamic Center is considered the most important outpost of the Iranian regime in Germany. But since Hamburg Mosque is also reportedly used to spread the Mullahs's propaganda across Europe, calls are growing for Hamburg Mosque's work to be restricted.",<triplet> calls <subj> Hamburg Mosque's <obj> Disapprove <triplet> Hamburg Mosque <subj> Mullahs's propaganda <obj> Make Public Statement <triplet> Iranian regime <subj> The Hamburg Islamic Center <obj> Engage In Diplomatic Cooperation,3,3,3,350,"['Disapprove', 'Make Public Statement', 'Engage In Diplomatic Cooperation']",3
26,33,"Protests in Iran: The Regime’s Trail of Blood. For over a month, people in Iran have been protesting against The Regime’s. Data shows how protests have sprung up around Iran and where The Regime’s has unleashed the most brutality against people in Iran.",<triplet> people in Iran <subj> The Regime’s <obj> Protest <triplet> The Regime’s <subj> people in Iran <obj> Assault,2,2,2,253,"['Protest', 'Assault']",2
27,34,"The Women of Iran Have Had Enough: Anatomy of an Uprising. The death of university student Jina Mahsa Amini has triggered a wave of protests across Iran. For the last five weeks, the women of Iran have been leading the way, but people from all walks of life have joined The Women of Iran. Are they the force that could bring down the regime?",<triplet> the women of Iran <subj> across <obj> Protest <triplet> people from all walks of life <subj> The Women of Iran <obj> Engage In Diplomatic Cooperation <triplet> Iran <subj> university student Jina Mahsa Amini <obj> Assault,3,3,3,341,"['Protest', 'Engage In Diplomatic Cooperation', 'Assault']",3
28,35,"The Omnipotence of China's Xi Jinping: ""Chairman of Everything"". China's Xi Jinping: ""Chairman of Everything"" has transformed China's Xi Jinping: ""Chairman of Everything""'s country into a surveillance state, isolated China's from the rest of the world during the pandemic and expanded China's Xi Jinping: ""Chairman of Everything""'s foreign policy. Now, China's's Xi Jinping is set to become ruler for life. Why is China's Xi Jinping: ""Chairman of Everything"" so beloved by China's Xi Jinping: ""Chairman of Everything""'s people?","<triplet> China's Xi Jinping: ""Chairman of Everything""'s people <subj> China's Xi Jinping: ""Chairman of Everything"" <obj> Engage In Diplomatic Cooperation <triplet> China's <subj> the rest of the world <obj> Reduce Relations",2,2,2,527,"['Engage In Diplomatic Cooperation', 'Reduce Relations']",2
29,36,"Giuseppe Conte: ""If Meloni Pursues Reactionary Positions, the Five Star Movement Will Have to Mobilize All the Five Star Movement's Powers"". After the election victory of Meloni in Italy, the head of the Five Star Movement, Giuseppe Conte, is concerned that Meloni will lead Italy to the right-wing fringe. In an interview, Giuseppe Conte talks about what lies ahead for Giuseppe Conte's country.",<triplet> Giuseppe Conte <subj> Meloni <obj> Make Public Statement <triplet> Giuseppe Conte <subj> Giuseppe Conte's country <obj> Make Public Statement <triplet> the Five Star Movement <subj> Meloni <obj> Disapprove <triplet> Giuseppe Conte <subj> Meloni <obj> Make Public Statement <triplet> Giuseppe Conte <subj> the Five Star Movement <obj> Make Public Statement,5,5,4,396,"['Make Public Statement', 'Make Public Statement', 'Disapprove', 'Make Public Statement', 'Make Public Statement']",5
